mangaid,ha_z
1-38398,0.02523937
1-38138,0.02408582
1-38138,0.02408583
1-38000,0.02175018
1-38000,0.02175076
1-37931,0.02704679
1-37931,0.0270468
1-37923,0.0369686
1-37923,0.0369686
1-37679,0.1171859
1-37679,0.1170163
1-38166,0.02468873
1-38166,0.02468878
1-109356,0.02418425
1-109356,0.02418425
1-38014,0.05381569
1-38014,0.05381569
1-38011,0.04030815
1-38011,0.04030815
1-38033,0.036976
1-38033,0.036976
1-37936,0.03805467
1-37936,0.03805467
1-38136,0.03677537
1-38136,0.03677548
1-37727,0.02822249
1-37727,0.02822248
1-38160,0.03372443
1-38160,0.03372443
1-604017,0.02683292
1-604017,0.02683292
1-38101,0.02607621
1-38101,0.0260762
1-38042,0.02106401
1-38042,0.02106401
1-109308,0.1318018
1-109308,0.131802
1-38008,0.0577416
1-38008,0.05773403
1-38103,0.02858268
1-38103,0.02858272
1-604037,0.02169339
1-604037,0.02162497
1-37996,0.02126082
1-37996,0.02126082
1-37973,0.02135128
1-37973,0.02135128
1-37998,-999
1-37998,0.0207338
1-38374,0.0236801
1-38374,0.02367892
1-38012,0.0213598
1-38012,0.0213598
1-38167,0.02407409
1-38167,0.02407403
1-38155,0.02388423
1-38155,0.02388423
1-38217,0.05183289
1-38217,0.05182766
1-37965,0.02099818
1-37965,0.02099786
1-109394,0.03618867
1-109394,0.03618867
1-38380,0.03591086
1-38380,0.03591082
1-583411,0.02101372
1-583411,0.02101372
1-38168,0.02436538
1-38168,0.02436538
1-604053,0.02289313
1-604053,0.02289312
1-604039,0.02092218
1-604039,0.02092217
1-38157,0.03648028
1-38157,0.03652283
1-38347,0.03681241
1-38347,0.03680894
1-38189,0.03756678
1-38189,0.0375668
1-38173,0.02387587
1-38173,0.02387587
1-38214,0.03648772
1-38214,0.03648772
1-38352,0.03754287
1-38352,0.03754288
1-37980,0.02666013
1-37980,0.02666013
1-37995,0.03644904
1-37995,0.03644908
1-38428,0.03601876
1-38428,0.03601936
1-38319,0.03822098
1-38319,0.03836763
1-38017,0.03819802
1-38017,0.03819802
1-38030,0.03770127
1-38030,0.03770126
1-604048,0.03641089
1-604048,0.03641091
