mangaid,sfr_tot,nsa_sersic_mass
1.114121,0.1102709,8.72761E+10
1.114121,0.04798067,8.72761E+10
1.114129,0.4420774,2.21384E+10
1.114129,0.2393422,2.21384E+10
1.114325,0.2359208,2.18948E+10
1.114325,0.1767188,2.18948E+10
1.114454,0.9656207,7.3668E+10
1.114454,0.8173003,7.3668E+10
1.114073,0.2677776,7.11786E+09
1.114073,0.03175982,7.11786E+09
1.114303,0.1923184,8.70113E+08
1.114303,0.1903939,8.70113E+08
1.114334,0.04305492,1.03482E+10
1.114334,0.04158211,1.03482E+10
1.114082,0.1646858,4.18384E+09
1.114082,0.1256564,4.18384E+09
1.114171,0.02450094,1.7969E+11
1.114171,0.01942347,1.7969E+11
1.114532,0.01485193,7.83171E+10
1.114532,0.005656622,7.83171E+10
1.550578,0.1343373,1.56172E+11
1.550578,0.08348776,1.56172E+11
1.114128,0.02663961,7.21186E+10
1.114128,0.01555643,7.21186E+10
1.114145,0.09487685,2.95378E+10
1.114145,0.07634642,2.95378E+10
1.114502,0.01332505,8.66497E+10
1.114502,0.003662551,8.66497E+10
1.114465,0.6326882,5.42592E+10
1.114465,0.5055376,5.42592E+10
1.114306,0.9734218,3.3939E+10
1.114306,0.3332134,3.3939E+10
1.114500,0.242924,7.33812E+09
1.114500,0.2175507,7.33812E+09
1.114955,3.103322,5.16933E+10
1.114955,2.379421,5.16933E+10
1.114973,0.1005145,9.43189E+10
1.114973,0.04550279,9.43189E+10
1.115162,0.8367032,6.60744E+10
1.115162,0.2403057,6.60744E+10
1.636015,0.2424376,1.84197E+10
1.636015,0.217453,1.84197E+10
1.596678,0.2830605,5.22174E+10
1.596678,0.2367726,5.22174E+10
1.115062,0.001288034,4.65095E+09
1.115062,0.0007836089,4.65095E+09
1.115128,0.2538473,2.2652E+10
1.115128,0.2501846,2.2652E+10
1.115097,0.01548596,9.66567E+09
1.115097,0.01370155,9.66567E+09
1.114928,0.01126218,2.91202E+10
1.114928,0.01012724,2.91202E+10
1.115320,0.4097393,8.14758E+09
1.115320,0.4026589,8.14758E+09
1.114956,0.07814226,1.39139E+10
1.114956,0.06789163,1.39139E+10
1.562254,0.04601036,8.54519E+10
1.562254,0.03354003,8.54519E+10
1.114998,0.01955236,1.06472E+11
1.114998,0.01305899,1.06472E+11
1.115085,0.07256877,1.91981E+09
1.115085,0.02310483,1.91981E+09
1.562158,0.01048352,5.45026E+10
1.562158,0.005529896,5.45026E+10
1.596598,0.3285698,3.09941E+10
1.596598,0.3172837,3.09941E+10
1.114980,0.7947935,3.34901E+10
1.114980,0.625503,3.34901E+10
1.24414,0.1465879,7.58014E+09
1.24414,0.04100465,7.58014E+09
1.23877,0.02763465,1.62343E+10
1.23877,0.01323964,1.62343E+10
1.25517,0.02912546,9.25437E+08
1.25517,0.02264365,9.25437E+08
1.25554,0.1014421,2.57874E+10
1.25554,0.05830082,2.57874E+10
1.24476,0.02636359,3.18495E+10
1.24476,0.01712011,3.18495E+10
1.634825,0.02574916,4.61902E+10
1.634825,0.0257227,4.61902E+10
1.634828,0.3920988,2.60114E+10
1.634828,0.3904465,2.60114E+10
1.23894,0.01282999,1.86455E+10
1.23894,0.01076994,1.86455E+10
1.24390,0.02730951,3.06589E+09
1.24390,0.01035531,3.06589E+09
1.24357,1.510155,4.1133E+09
1.24357,1.477363,4.1133E+09
1.24394,0.0112049,1.08346E+10
1.24394,0.004114472,1.08346E+10
1.23866,0.02540169,3.6941E+09
1.23866,0.01140335,3.6941E+09
1.24379,0.007408813,1.46078E+09
1.24379,0.0006421448,1.46078E+09
1.25688,0.07978147,1.47272E+10
1.25688,0.05040913,1.47272E+10
1.25593,0.5156128,9.81605E+09
1.25593,0.4200224,9.81605E+09
1.23914,0.06388645,6.40337E+09
1.23914,0.04461938,6.40337E+09
1.25609,0.02751024,1.16011E+10
1.25609,0.02434,1.16011E+10
1.595027,1.011939,1.74629E+10
1.595027,0.9483894,1.74629E+10
1.24145,0.03082216,1.23335E+11
1.24145,0.01477083,1.23335E+11
1.595093,0.09984811,3.40262E+10
1.595093,0.08872714,3.40262E+10
1.24368,0.1144952,5.40011E+09
1.24368,0.05330572,5.40011E+09
1.25937,0.6843335,1.15253E+11
1.25937,0.1641804,1.15253E+11
1.24092,5.699879,2.68873E+10
1.24092,5.563301,2.68873E+10
1.24099,0.003494829,1.41932E+10
1.24099,0.003454379,1.41932E+10
1.25819,0.02205835,5.74963E+10
1.25819,0.01903908,5.74963E+10
1.23979,0.04163588,1.08236E+10
1.23979,0.04003941,1.08236E+10
1.24124,0.001058578,2.87252E+09
1.24124,0.000642442,2.87252E+09
1.23891,0.02217538,1.84659E+10
1.23891,0.02089345,1.84659E+10
1.24018,0.007267254,3.16734E+10
1.24018,0.004226495,3.16734E+10
1.24354,0.001031757,3.89649E+09
1.24354,0.0003596475,3.89649E+09
1.24006,0.08261207,2.65348E+09
1.24006,0.06547239,2.65348E+09
1.24148,0.03703693,1.50251E+10
1.24148,0.03584449,1.50251E+10
1.23929,0.08851099,5.97975E+09
1.23929,0.06226002,5.97975E+09
1.25911,0.03600831,1.45101E+11
1.25911,0.004229676,1.45101E+11
1.634238,0.205751,1.06032E+11
1.634238,0.07130396,1.06032E+11
1.22298,0.04632835,4.01066E+10
1.22298,0.03196524,4.01066E+10
1.594809,0.08043475,5.58295E+08
1.594809,0.06245014,5.58295E+08
1.22286,0.160927,1.70247E+11
1.22286,0.07865866,1.70247E+11
1.22942,0.04533371,8.47036E+10
1.22942,0.01309816,8.47036E+10
1.22438,0.03845853,1.09802E+09
1.22438,0.03449224,1.09802E+09
1.23023,0.04328915,2.02147E+10
1.23023,0.04319901,2.02147E+10
1.22347,0.01584062,1.01456E+10
1.22347,0.009342835,1.01456E+10
1.22383,1.272636,1.10889E+10
1.22383,1.101622,1.10889E+10
1.22970,0.04062176,4.67949E+10
1.22970,0.01652852,4.67949E+10
1.22333,0.06253258,3.16203E+09
1.22333,0.008990637,3.16203E+09
1.22301,1.177909,9.36926E+10
1.22301,0.4042086,9.36926E+10
1.634299,0.5427667,2.05384E+09
1.634299,0.5086771,2.05384E+09
1.22414,0.5552283,7.48966E+10
1.22414,0.4444519,7.48966E+10
1.22662,0.3469613,1.09103E+10
1.22662,0.3211509,1.09103E+10
1.22412,0.0363725,1.21032E+09
1.22412,0.003855383,1.21032E+09
1.22948,1.031172,1.02353E+11
1.22948,0.470432,1.02353E+11
1.36645,0.1121177,4.06189E+09
1.36645,0.0001221139,4.06189E+09
1.36849,0.09137781,5.33081E+09
1.36849,0.0615357,5.33081E+09
1.36925,0.2524297,6.05303E+10
1.36925,0.1029134,6.05303E+10
1.37018,0.09373339,1.15945E+10
1.37018,0.0215652,1.15945E+10
1.109081,0.3149924,7.28656E+10
1.109081,0.1199229,7.28656E+10
1.37034,0.0009952851,3.05563E+09
1.37034,0.0005650595,3.05563E+09
1.37039,0.00402684,1.33287E+10
1.37039,0.002884827,1.33287E+10
1.36977,0.01654556,2.17098E+10
1.36977,0.01564391,2.17098E+10
1.37062,0.08929799,1.00707E+10
1.37062,0.08320384,1.00707E+10
1.36942,0.001912536,1.58644E+10
1.36942,0.0007250335,1.58644E+10
